study_row_id,study_label,year,doi,experiment_label,evidence_stage,toolkit_status,resolved_contracts,contract_coverage_pct,auditory_stimulus,trajectory_kinematics,trial_sequence,task_response,jitter_iti_policy,soa_schedule,tactile_target,baseline_trial_contract,catch_trial_contract,repetition_allocation,block_order_contract
doi:10.1093/oso/9780198851738.003.0005,Visuo-tactile predictive mechanisms of peripersonal space,2021,10.1093/oso/9780198851738.003.0005,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1038/s41598-021-00048-5,Frontal and parietal background connectivity and their dynamic changes account for individual differences in the multisensory representation of peripersonal space.,2021,10.1038/s41598-021-00048-5,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,source_unavailable,source_unavailable,low_confidence
doi:10.1007/s00221-024-06782-2,Comparison of peripersonal space in front and rear spaces.,2024,10.1007/s00221-024-06782-2,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,low_confidence,low_confidence,source_unavailable,source_unavailable,source_unavailable,source_unavailable,low_confidence,low_confidence,low_confidence,source_unavailable
doi:10.3389/fpsyg.2011.00077,"Organization, maturation, and plasticity of multisensory integration: insights from computational modeling studies.",2011,10.3389/fpsyg.2011.00077,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.3758/app.72.4.885,Crossmodal interaction between the mental number line and peripersonal haptic space representation in sighted and blind individuals.,2010,10.3758/app.72.4.885,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.schres.2021.06.026,Influence of E/I balance and pruning in peri-personal space differences in schizophrenia: A computational approach.,2022,10.1016/j.schres.2021.06.026,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.3389/frvir.2021.644214,VR Setup to Assess Peripersonal Space Audio-Tactile 3D Boundaries,2021,10.3389/frvir.2021.644214,not_assessed,current_audit_without_manual_review,runnable,0/11,0.0,low_confidence,low_confidence,low_confidence,low_confidence,source_unavailable,source_unavailable,low_confidence,low_confidence,low_confidence,source_unavailable,low_confidence
doi:10.1016/j.neuropsychologia.2009.07.025,Early visual deprivation alters multisensory processing in peripersonal space.,2009,10.1016/j.neuropsychologia.2009.07.025,not_assessed,manual_review,runnable,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,not_applicable,partial,partial
doi:10.1101/2024.10.25.619776,Multisensory integration in Peripersonal Space indexes consciousness states in sleep and disorders of consciousness,2024,10.1101/2024.10.25.619776,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1109/whc.2017.7989970,Vibration on the soles of the feet evoking a sensation of walking expands peripersonal space,2017,10.1109/whc.2017.7989970,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1250/ast.41.345,Social impact on audiotactile integration near the body,2020,10.1250/ast.41.345,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.3390/bs14040306,Mindfulness Affects the Boundaries of Bodily Self-Representation: The Effect of Focused-Attention Meditation in Fading the Boundary of Peripersonal Space.,2024,10.3390/bs14040306,not_assessed,manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial
doi:10.1016/j.nicl.2019.101940::a,Peri-personal space encoding in patients with disorders of consciousness and cognitive-motor dissociation. (a),2019,10.1016/j.nicl.2019.101940,Experiment 1 — healthy participants,manual_review,supported_incomplete,11/11,100.0,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,explicitly_absent,reported_complete,reported_complete
doi:10.1016/j.nicl.2019.101940::b,Peri-personal space encoding in patients with disorders of consciousness and cognitive-motor dissociation. (b),2019,10.1016/j.nicl.2019.101940,Experiment 2 — disorders of consciousness,manual_review,supported_incomplete,11/11,100.0,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,explicitly_absent,reported_complete,reported_complete
doi:10.1007/s00221-004-2212-7,Spatial auditory attention is modulated by tactile priming.,2005,10.1007/s00221-004-2212-7,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1101/249078,Audio-tactile and peripersonal space processing around the trunk in human parietal and temporal cortex: an intracranial EEG study,2018,10.1101/249078,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1007/s10548-021-00826-4,Slow Resting State Fluctuations Enhance Neuronal and Behavioral Responses to Looming Sounds,2021,10.1007/s10548-021-00826-4,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.actpsy.2011.01.003,Performance in haptic geometrical matching tasks depends on movement and position of the arms.,2011,10.1016/j.actpsy.2011.01.003,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.bodyim.2024.101777,The impact of body image on social cognition: Fear of negative evaluation mediates the relationship between body surveillance and interpersonal distance in women.,2024,10.1016/j.bodyim.2024.101777,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.cortex.2025.11.015,Functional organization of distance-dependent audio-tactile integration is different in rear and front spaces.,2026,10.1016/j.cortex.2025.11.015,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.neuropsychologia.2026.109490::a,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),2026,10.1016/j.neuropsychologia.2026.109490,Experiment 1,current_audit_without_manual_review,supported_incomplete,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1016/j.neuropsychologia.2026.109490::b,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (b),2026,10.1016/j.neuropsychologia.2026.109490,Experiment 2,current_audit_without_manual_review,supported_incomplete,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1016/j.neuropsychologia.2026.109490::c,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (c),2026,10.1016/j.neuropsychologia.2026.109490,Experiment 3,current_audit_without_manual_review,supported_incomplete,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1016/j.neuropsychologia.2026.109490::d,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (d),2026,10.1016/j.neuropsychologia.2026.109490,Experiment 4,current_audit_without_manual_review,supported_incomplete,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1016/j.xcrm.2026.102705::a,Multisensory integration in peripersonal space indexes consciousness states in sleep and disorders of consciousness. (a),2026,10.1016/j.xcrm.2026.102705,Healthy wake/sleep chest EEG PPS variant,manual_review,supported_incomplete,5/11,45.5,approximation_required,reported_complete,partial,reported_complete,partial,reported_complete,reported_complete,partial,explicitly_absent,partial,partial
doi:10.1016/j.xcrm.2026.102705::b,Multisensory integration in peripersonal space indexes consciousness states in sleep and disorders of consciousness. (b),2026,10.1016/j.xcrm.2026.102705,Disorders-of-consciousness arm clinical PPS variant,manual_review,supported_incomplete,9/11,81.8,approximation_required,reported_complete,partial,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,explicitly_absent,reported_complete,reported_complete
doi:10.1038/s41598-026-36796-5::a,Somatotopy-independent reduction of audio-tactile intersensory facilitation for looming sounds within the peripersonal space during arm movements execution. (a),2026,10.1038/s41598-026-36796-5,Experiment 1 — 3000-ms sound/endpoint baselines,manual_review,runnable,7/11,63.6,approximation_required,derived_complete,partial,reported_complete,not_reported,reported_complete,reported_complete,reported_complete,derived_complete,reported_complete,conflicting_evidence
doi:10.1038/s41598-026-36796-5::b,Somatotopy-independent reduction of audio-tactile intersensory facilitation for looming sounds within the peripersonal space during arm movements execution. (b),2026,10.1038/s41598-026-36796-5,Experiment 2 — 4000-ms sound/five matched baselines,manual_review,runnable,8/11,72.7,approximation_required,derived_complete,partial,reported_complete,not_reported,reported_complete,reported_complete,reported_complete,derived_complete,reported_complete,reported_complete
doi:10.1073/pnas.2516229122,"Interoception vs. Exteroception: Cardiac interoception competes with tactile perception, yet also facilitates self-relevance encoding.",2025,10.1073/pnas.2516229122,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1080/17470210903068989,Assessing the effect of sound complexity on the audiotactile cross-modal dynamic capture task.,2010,10.1080/17470210903068989,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1101/2025.06.25.660685,"Interoception vs. Exteroception: Cardiac interoception competes with tactile perception, yet also facilitates self-relevance encoding",2025,10.1101/2025.06.25.660685,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1101/2025.09.02.673729,The Proximity Prediction Hypothesis: How predictive coding of CT-touch explains Autonomous Sensory Meridian Response and its therapeutic applications,2025,10.1101/2025.09.02.673729,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1101/492017,Maternal brain gain: enlarged representation of the peripersonal space in pregnancy,2018,10.1101/492017,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1163/22134808-000s0136,Audio-tactile multisensory integration as a proxy for full body peri-personal space,2013,10.1163/22134808-000s0136,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1177/17470218241261645,Lost in time and space? Multisensory processing of peripersonal space and time perception in people with frequent experiences of depersonalisation.,2025,10.1177/17470218241261645,not_assessed,manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,not_reported,partial,partial,partial,partial,not_reported,partial
doi:10.17605/osf.io/73x59,Audio-tactile peripersonal space,2019,10.17605/osf.io/73x59,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.31234/osf.io/etvb6_v1,The spatial reach of affective touch: a new perspective on social peripersonal space,2025,10.31234/osf.io/etvb6_v1,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.31234/osf.io/t8h6a,Lost in time and space? Multisensory processing of peripersonal space and time perception in Depersonalisation,2023,10.31234/osf.io/t8h6a,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.3389/fpsyg.2022.983189,Effects of guided exploration on reaching measures of auditory peripersonal space.,2022,10.3389/fpsyg.2022.983189,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.3390/s25196072,Using Android Smartphones to Collect Precise Measures of Reaction Times to Multisensory Stimuli.,2025,10.3390/s25196072,not_assessed,current_audit_without_manual_review,runnable,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.53829/ntr201911fa4,Creating a Walking Sensation for the Seated--A Sensation of Pseudo-walking Expands Peripersonal Space,2019,10.53829/ntr201911fa4,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.61782/fa.2025.0866,The Impact of Looming Sound Duration on Peripersonal Space Measurement,2025,10.61782/fa.2025.0866,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,source_unavailable
