study_row_id,network_node_id,record_id,study_label,acquisition_id,acquisition_label,outcome_family,modality_or_signal,primary_measure,binding_mode,device_or_system,channels_or_sites_json,event_trigger,clock_sync_method,acquisition_window,primary_outcome_definition,calibration_or_online_processing,applies_to_event_ids,applies_to_pps_occurrence_ids,profile_or_protocol_ref,source_type,review_date,source_file,page_or_section,evidence_note,derivation_note,current_toolkit_support,current_toolkit_paths,runtime_or_untyped_inputs,future_toolkit_paths,analysis_model_scope
doi:10.1371/journal.pone.0044306::a,doi:10.1371/journal.pone.0044306,canzoneri_2012_dynamic_sounds,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (a),vocal_tactile_rt,Dynamic-sound tactile RT,behavioral_response,voice-onset response event,voice-onset RT and response accuracy,native_response_log,CIRO plus voice-activated relay,[],right-index 100-ms electrical onset,shared_device_clock,tactile onset to voice onset; online deadline not reported,Tactile RT by IN/OUT and T0-T6; sigmoid boundary derived downstream,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0044306__48110f1e7943.pdf,"PDF pp.2-4, Method and Results",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/ejn.13872::b,doi:10.1111/ejn.13872,pfeiffer_2018_vestibular,Vestibular modulation of peripersonal space boundaries. (b),tactile_rt,Experiment 2 vestibular-tactile RT,behavioral_response,behavioral response log,button reaction time to forehead vibration,native_response_log,serial keyboard response button; stimulus control system not identified,"""single participant response channel""",vibrotactile onset,unclear,From vibration onset to button response; online deadline not reported,Experiment 2 vestibular-tactile RT,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_ejn.13872__9e2ccc01df25.pdf,"PDF pp.4-5, Experiment 2",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/ejn.13872::c,doi:10.1111/ejn.13872,pfeiffer_2018_vestibular,Vestibular modulation of peripersonal space boundaries. (c),tactile_rt,Experiment 3 vestibular-audio-tactile RT,behavioral_response,behavioral response log,button reaction time to forehead vibration,native_response_log,serial keyboard response button; stimulus control system not identified,"""single participant response channel""",vibrotactile onset,unclear,From vibration onset to button response; online deadline not reported,Experiment 3 vestibular-audio-tactile RT,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_ejn.13872__9e2ccc01df25.pdf,"PDF p.5, Experiment 3",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/ejn.13872::c,doi:10.1111/ejn.13872,pfeiffer_2018_vestibular,Vestibular modulation of peripersonal space boundaries. (c),sound_location_estimate,Experiment 3 sound-location estimate,behavioral_response,behavioral response log,perceived two-dimensional head-centered sound location,native_response_log,keyboard arrow keys and two-dimensional polar-plot display,"""single participant response channel""",completion of the vestibular-audio-tactile stimulus,unclear,Cursor position at 4 s was recorded as the final judgment,Final cursor coordinate in the head-centered transverse plane after 4 s,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_ejn.13872__9e2ccc01df25.pdf,"PDF p.5, Experiment 3",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1016/j.neuropsychologia.2014.09.043,doi:10.1016/j.neuropsychologia.2014.09.043,finisguerra_2015_moving_sounds_motor,Moving sounds within the peripersonal space modulate the motor system.,tms_mep,Event-locked TMS and MEP acquisition,tms_mep,TMS-evoked EMG motor potential,MEP amplitude and baseline-normalized MEP modulation,hardware_triggered_external_system,CED trigger interface and external TMS/EMG system,[],TMS pulse 50 ms after sound reaches a sampled distance,hardware_trigger,post-TMS MEP window; exact bounds not captured,MEP modulation by sound direction and distance relative to mean PRE/POST no-noise baseline MEP.,12 PRE and 12 POST baseline MEP trials; baseline average used for normalization,,,doi:10.1016/j.neuropsychologia.2014.09.043,manual_publication_review,2026-08-12,For-AI/audiotactile-paper-metadata-audit/manual_reviews/finisguerra_2015_moving_sounds_motor.json,"PDF pp.2-4, Main experiment and Data pre-processing",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1093/schbul/sbac067,doi:10.1093/schbul/sbac067,schizophrenia_tool_use_2022,Tool-use Extends Peripersonal Space Boundaries in Schizophrenic Patients.,tactile_rt,Pre/post tool-use tactile RT,behavioral_response,behavioral response log,reaction time to tactile target,native_response_log,Response device and logging software not reported in main PDF,"""single participant response channel""",tactile target onset,unclear,From tactile onset to response; online deadline not reported,"Tactile RT by Sound x Distance, used to estimate individual PSE/PPS boundary",,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1093_schbul_sbac067__b51d4fd6e869.pdf,"PDF pp.3-4, Sessions 1 and 3 and Data Analysis",Acquisition remains partial because the main article delegates response apparatus and RT-processing detail to Supplementary Materials.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1007/s00221-020-05771-5::a,doi:10.1007/s00221-020-05771-5,holmes_2020_four_experiments,Do sounds near the hand facilitate tactile reaction times? Four experiments and a meta-analysis provide mixed support and suggest a small effect size. (a),weak_target_vocal_rt,Weak-target vocal reaction time,behavioral_response,vocal response event,reaction time from weak tactile-target onset,native_response_log,,[],weak tactile-target onset,unclear,analysis inclusion window 150-2000 ms; online timeout unreported,TAH latency on weak-target trials; see task_response for target/nontarget rules.,,,,doi:10.1007/s00221-020-05771-5::a,experiment_specific_source_review,2026-08-12,For-AI/audiotactile-paper-metadata-audit/parsimonious_source_reviews.v1.json,"PDF pp.3-5, Experiment 1",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1098/rsos.181878::a,doi:10.1098/rsos.181878,social_coding_2019,Social coding of the multisensory space around us. (a),tactile_rt,Collaboration-context tactile RT,behavioral_response,behavioral response log,reaction time to left-index vibration,native_response_log,Presentation software and right-finger response button,"""single participant response channel""",tactile onset,shared_device_clock,From tactile onset to button response; deadline not reported,"Tactile RT across social condition, hemispace, and 11 timings",,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1098_rsos.181878__3237f37148ca.pdf,"PDF pp.4-5, Apparatus and Design",Experiment-specific behavioral acquisition for the collaboration experiment.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1098/rsos.181878::b,doi:10.1098/rsos.181878,social_coding_2019,Social coding of the multisensory space around us. (b),tactile_rt,Competition-context tactile RT,behavioral_response,behavioral response log,reaction time to left-index vibration,native_response_log,Presentation software and right-finger response button,"""single participant response channel""",tactile onset,shared_device_clock,From tactile onset to button response; deadline not reported,"Tactile RT across social condition, hemispace, and 11 timings",,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1098_rsos.181878__3237f37148ca.pdf,"PDF pp.4-5, Apparatus and Design",Experiment-specific behavioral acquisition for the competition experiment.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1098/rsos.181878::c,doi:10.1098/rsos.181878,social_coding_2019,Social coding of the multisensory space around us. (c),tactile_rt,Audience-context tactile RT,behavioral_response,behavioral response log,reaction time to left-index vibration,native_response_log,Presentation software and right-finger response button,"""single participant response channel""",tactile onset,shared_device_clock,From tactile onset to button response; deadline not reported,"Tactile RT across social condition, hemispace, and 11 timings",,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1098_rsos.181878__3237f37148ca.pdf,"PDF pp.4-5, Apparatus and Design",Experiment-specific behavioral acquisition for the audience experiment.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1038/s41598-019-45224-w,doi:10.1038/s41598-019-45224-w,pregnancy_2019,Enlarged representation of peripersonal space in pregnancy.,abdominal_key_rt,Abdominal tactile-detection RT,behavioral_response,manual key response event,reaction time from abdominal tap onset,native_response_log,LabView 8 and Arduino response/stimulus system,[],abdominal tap onset,shared_device_clock,,Tactile-detection latency across five sound delays and longitudinal pregnancy/postpartum session.,,,,doi:10.1038/s41598-019-45224-w,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1038_s41598-019-45224-w__47c577b5fe75.pdf,"PDF pp.5-7, Procedure and data analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1177/1362361319838950,doi:10.1177/1362361319838950,autism_2019,Altered bodily self-consciousness and peripersonal space in autism.,tactile_rt,Finger-tap RT,behavioral_response,behavioral response log,button reaction time,native_response_log,"Arduino, LabView 8, left-hand response button","""single participant response channel""",tap onset,shared_device_clock,From tap onset to response; online deadline not reported,Tactile RT at five sound delays,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1177_1362361319838950__1ddd36b405d0.pdf,"PDF p.11, Peripersonal space",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/j.1460-9568.2010.07210.x::a,doi:10.1111/j.1460-9568.2010.07210.x,,Seeing the body modulates audiotactile integration (a),cce_response,Experiment 1 body-visible CCE,behavioral_response,behavioral response log,upper/lower discrimination RT and accuracy,native_response_log,E-Prime and two-button response box,"""single participant response channel""",vibration onset,shared_device_clock,Up to 1500 ms after vibration,Inverse efficiency from RT and percent correct,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1460-9568.2010.07210.x__9e7fbce07ccb.pdf,"PDF pp.2-3, Materials, Procedure, Statistical analysis",Experiment 1 body-visible CCE behavioral acquisition; separated from the other formal experiments.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/j.1460-9568.2010.07210.x::b,doi:10.1111/j.1460-9568.2010.07210.x,,Seeing the body modulates audiotactile integration (b),cce_response,Experiment 2 body-not-visible CCE,behavioral_response,behavioral response log,upper/lower discrimination RT and accuracy,native_response_log,E-Prime and two-button response box,"""single participant response channel""",vibration onset,shared_device_clock,Up to 1500 ms after vibration,Inverse efficiency from RT and percent correct,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1460-9568.2010.07210.x__9e7fbce07ccb.pdf,"PDF pp.2-3, Materials, Procedure, Statistical analysis",Experiment 2 body-not-visible CCE behavioral acquisition; separated from the other formal experiments.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/j.1460-9568.2010.07210.x::c,doi:10.1111/j.1460-9568.2010.07210.x,,Seeing the body modulates audiotactile integration (c),cce_response,Experiment 3 visibility-by-location CCE,behavioral_response,behavioral response log,upper/lower discrimination RT and accuracy,native_response_log,E-Prime and two-button response box,"""single participant response channel""",vibration onset,shared_device_clock,Up to 1500 ms after vibration,Inverse efficiency from RT and percent correct,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1460-9568.2010.07210.x__9e7fbce07ccb.pdf,"PDF pp.2-3, Materials, Procedure, Statistical analysis",Experiment 3 visibility-by-location CCE behavioral acquisition; separated from the other formal experiments.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1073/pnas.2024548118,doi:10.1073/pnas.2024548118,ronga_2021_newborn_erp,Spatial tuning of electrophysiological responses to multisensory stimuli reveals a primitive coding of the body boundaries in newborns,newborn_adult_erp,Newborn/adult passive ERP,eeg_erp,scalp EEG event-related potential,spatially tuned multisensory ERP response,hardware_triggered_external_system,,[],stimulus trigger/tactile onset; auditory onset +40 ms on bimodal rows,hardware_trigger,-0.5 to +1 s; baseline -0.5 to 0 s,Near/far multisensory ERP spatial tuning relative to unisensory control responses; exact scalar endpoint remains unresolved.,prestimulus baseline correction and unisensory control-response construction,,,doi:10.1073/pnas.2024548118,manual_publication_review,2026-08-12,For-AI/audiotactile-paper-metadata-audit/manual_reviews/ronga_2021_newborn_erp.json,"SI Appendix pp.2-4, Stimuli/task and EEG processing",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1038/s41598-021-90784-5,doi:10.1038/s41598-021-90784-5,matsuda_2021_four_directions,"Peripersonal space in the front, rear, left and right directions for audio-tactile multisensory integration.",chest_detection_rt,Chest tactile-detection RT,behavioral_response,manual response event,reaction time from chest vibration onset,native_response_log,,[],chest vibration onset,unclear,,"Tactile-detection latency by direction, approach/recede motion, and tactile timing.",,,,doi:10.1038/s41598-021-90784-5,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1038_s41598-021-90784-5__18f4d0e6f3e3.pdf,"PDF pp.7-8, Procedure and analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1038/s41598-020-79767-0,doi:10.1038/s41598-020-79767-0,taffou_2021_auditory_roughness,Auditory roughness elicits defense reactions.,index_keypad_rt,Index vibration-detection RT,behavioral_response,keypad response event,reaction time from vibration onset,native_response_log,keypad under Presentation,[],left-index vibration onset,unclear,analysis inclusion 100-1000 ms; online timeout unreported,Tactile-detection latency by roughness and seven tactile timings.,exclude RT <100 or >1000 ms,,,doi:10.1038/s41598-020-79767-0,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1038_s41598-020-79767-0__feed2417f08d.pdf,"PDF pp.3-5, Apparatus, PPS measure, and analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1007/s00221-019-05469-3,doi:10.1007/s00221-019-05469-3,tonelli_2019_echolocation,Enhanced audio-tactile multisensory interaction in a peripersonal task after echolocation.,vocal_tactile_rt,Vocal tactile-detection RT,behavioral_response,voice-onset response event,reaction time from tactile onset,native_response_log,microphone,[],neck tactile target onset,unclear,,TAH onset latency by speaker position and pre/post intervention; see task_response for Go/NoGo mechanics.,,,,doi:10.1007/s00221-019-05469-3,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-019-05469-3__b825f4a22517.pdf,"PDF pp.4-6, Apparatus, PPS task, and data analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1038/s41598-019-45084-4::a,doi:10.1038/s41598-019-45084-4,newborn_boundaries_2019,Identifying peripersonal space boundaries in newborns. (a),video_coded_saccadic_rt,Video-coded infant saccadic RT,behavioral_response,video-recorded eye movement,first gaze-shift latency from peripheral-target onset,external_file_import,infant-facing video camera,"""eyes/gaze direction""",peripheral face onset after 2-s sensory period,posthoc_alignment,0-2 s after peripheral face onset,"Pilot: first eye movement from central fixation to a peripheral face, coded offline, by three audio-tactile intensity rows.",blinded offline video coding; attention-dependent trial validity,,,doi:10.1038/s41598-019-45084-4::a,publication_pdf_formal_experiment,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1038_s41598-019-45084-4__2ed6021a2bf9.pdf,"PDF pp.2-4, 8-9, Pilot study, apparatus/procedure, and looking-time coding",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1038/s41598-019-45084-4::b,doi:10.1038/s41598-019-45084-4,newborn_boundaries_2019,Identifying peripersonal space boundaries in newborns. (b),video_coded_saccadic_rt,Video-coded infant saccadic RT,behavioral_response,video-recorded eye movement,first gaze-shift latency from peripheral-target onset,external_file_import,infant-facing video camera,"""eyes/gaze direction""",peripheral face onset after 2-s sensory period,posthoc_alignment,0-2 s after peripheral face onset,"Study 1: first eye movement from central fixation to a peripheral face, coded offline, by five intensities and assigned modality arm.",blinded offline video coding; attention-dependent trial validity,,,doi:10.1038/s41598-019-45084-4::b,publication_pdf_formal_experiment,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1038_s41598-019-45084-4__2ed6021a2bf9.pdf,"PDF pp.4-5, 8-9, Study 1, apparatus/procedure, and looking-time coding",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1093/braincomms/fcac179,doi:10.1093/braincomms/fcac179,,Body and peripersonal space representations in chronic stroke patients with upper limb motor deficits.,foot_pedal_rt,Foot-pedal tactile RT,behavioral_response,foot-pedal response event,reaction time from tactile onset and tactile-only-adjusted RT,native_response_log,foot pedal,[],tactile stimulus onset,unclear,,Audio-tactile RT at 0.3/1.5/2.7 s minus mean unimodal tactile RT.,tactile-only mean RT subtraction,,,doi:10.1093/braincomms/fcac179,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1093_braincomms_fcac179__272ca6c0fa06.pdf,"PDF pp.3-5, Audiotactile task, clinical imaging, and lesion analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1093/braincomms/fcac179,doi:10.1093/braincomms/fcac179,,Body and peripersonal space representations in chronic stroke patients with upper limb motor deficits.,clinical_lesion_imaging,Clinical lesion imaging,custom,pre-existing structural MRI or CT lesion image,lesion location and volume for lesion-symptom mapping,external_file_import,heterogeneous clinical MRI/CT systems; acquisition parameters unreported,"""brain lesion masks""",not event locked; linked to participant record,none,clinical scan acquired independently of PPS task,Voxelwise/region lesion association with PPS task performance and rehabilitation outcome.,clinical images normalized and lesion masks entered into lesion-mapping analysis; original scan protocol unavailable,,,doi:10.1093/braincomms/fcac179,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1093_braincomms_fcac179__272ca6c0fa06.pdf,"PDF pp.3-5, Audiotactile task, clinical imaging, and lesion analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
