current_toolkit_input_path,parameter_group,type_annotation,value_shape,unit,mapped_target_parameter_paths,mapped_target_count,target_binding_states,current_audit_parent_fields,current_input_contract_pointer,profile_encoding_matrix_pointer
design.protocol.baseline_trials_exact,protocol,int | None,scalar,,target.trial_pool.baseline_count_exact | target.trial_pool.total_trial_count,2,typed_current_input | derived_not_input,baseline_count | total_trial_count,current_toolkit_input_dictionary.csv::design.protocol.baseline_trials_exact,study_instance_current_toolkit_input_matrix.csv::design.protocol.baseline_trials_exact
design.protocol.baseline_trial_percentage,protocol,float,scalar,percent,target.trial_pool.baseline_percentage,1,typed_current_input,baseline_count,current_toolkit_input_dictionary.csv::design.protocol.baseline_trial_percentage,study_instance_current_toolkit_input_matrix.csv::design.protocol.baseline_trial_percentage
design.protocol.baseline_soa_values_ms,protocol,list[int],array,ms,target.tactile_protocol.baseline_soa_values_ms,1,typed_current_input,baseline_timing,current_toolkit_input_dictionary.csv::design.protocol.baseline_soa_values_ms,study_instance_current_toolkit_input_matrix.csv::design.protocol.baseline_soa_values_ms
design.protocol.baseline_custom_trial_mode,protocol,str,scalar,,target.tactile_protocol.baseline_custom_trial_mode,1,typed_current_input,baseline_strategy,current_toolkit_input_dictionary.csv::design.protocol.baseline_custom_trial_mode,study_instance_current_toolkit_input_matrix.csv::design.protocol.baseline_custom_trial_mode
design.protocol.baseline_crosses_sequence_variants,protocol,bool,scalar,,target.trial_pool.baseline_crosses_sequence_variants,1,typed_current_input,baseline_count,current_toolkit_input_dictionary.csv::design.protocol.baseline_crosses_sequence_variants,study_instance_current_toolkit_input_matrix.csv::design.protocol.baseline_crosses_sequence_variants
design.protocol.respiratory_phases,protocol,list[str],array,,,0,,,current_toolkit_input_dictionary.csv::design.protocol.respiratory_phases,study_instance_current_toolkit_input_matrix.csv::design.protocol.respiratory_phases
design.protocol.blocks,protocol,int,scalar,,target.block_design.block_count | target.block_design.per_block_trial_counts,2,typed_current_input | derived_not_input,block_count,current_toolkit_input_dictionary.csv::design.protocol.blocks,study_instance_current_toolkit_input_matrix.csv::design.protocol.blocks
design.protocol.block_specs[].label,block_specs,str,scalar,,target.block_design.block_labels,1,typed_current_input,,current_toolkit_input_dictionary.csv::design.protocol.block_specs[].label,study_instance_current_toolkit_input_matrix.csv::design.protocol.block_specs[].label
design.protocol.block_specs[].stimulus_types,block_specs,list[str],array,,target.block_design.block_stimulus_types | target.block_design.per_block_trial_counts,2,typed_current_input | derived_not_input,,current_toolkit_input_dictionary.csv::design.protocol.block_specs[].stimulus_types,study_instance_current_toolkit_input_matrix.csv::design.protocol.block_specs[].stimulus_types
design.protocol.repeat_trial_pool_per_block,protocol,bool,scalar,,target.block_design.repeat_trial_pool_per_block,1,typed_current_input,,current_toolkit_input_dictionary.csv::design.protocol.repeat_trial_pool_per_block,study_instance_current_toolkit_input_matrix.csv::design.protocol.repeat_trial_pool_per_block
design.protocol.distribute_trial_pool_across_blocks,protocol,bool,scalar,,target.block_design.distribute_trial_pool_across_blocks,1,typed_current_input,,current_toolkit_input_dictionary.csv::design.protocol.distribute_trial_pool_across_blocks,study_instance_current_toolkit_input_matrix.csv::design.protocol.distribute_trial_pool_across_blocks
design.protocol.trial_strips[].strip_id,trial_strips,str,scalar,,target.trial_sequence.trial_row_count | target.trial_sequence.row_ids | target.trial_sequence.row_order,3,derived_not_input | typed_current_input | partial_or_proxy_current_input,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].strip_id,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].strip_id
design.protocol.trial_strips[].label,trial_strips,str,scalar,,target.trial_sequence.row_labels,1,typed_current_input,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].label,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].label
design.protocol.trial_strips[].audio_tactile_percentage,trial_strips,float | None,scalar,percent,target.trial_sequence.row_audio_tactile_percentage,1,typed_current_input,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].audio_tactile_percentage,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].audio_tactile_percentage
design.protocol.trial_strips[].catch_percentage,trial_strips,float | None,scalar,percent,target.trial_sequence.row_catch_percentage,1,typed_current_input,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].catch_percentage,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].catch_percentage
design.protocol.trial_strips[].baseline_percentage,trial_strips,float | None,scalar,percent,target.trial_sequence.row_baseline_percentage,1,typed_current_input,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].baseline_percentage,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].baseline_percentage
design.protocol.trial_strips[].soa_values_ms,trial_strips,list[int],array,ms,target.trial_sequence.row_soa_overrides_ms | target.tactile_protocol.soa_values_ms,2,typed_current_input,trial_rows_families | soa_table,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].soa_values_ms,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].soa_values_ms
design.protocol.trial_strips[].spatial_values_cm,trial_strips,list[float],array,cm,target.trial_sequence.row_spatial_overrides_cm | target.tactile_protocol.spatial_values_cm | target.tactile_protocol.distance_at_touch_values_cm,3,typed_current_input | partial_or_proxy_current_input,trial_rows_families | soa_table,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].spatial_values_cm,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].spatial_values_cm
design.protocol.trial_strips[].metadata,trial_strips,"dict[str, Any]",object,,target.trial_sequence.sequence_variant_count | target.trial_sequence.sequence_variant_keys | target.trial_sequence.iti_policy | target.trial_sequence.iti_values_or_range_ms | target.trial_sequence.iti_distribution | target.trial_sequence.pre_sound_silence_ms | target.trial_sequence.post_sound_silence_ms | target.trial_sequence.foreperiod_ms | target.trial_sequence.condition_intermixing | target.trial_sequence.task_sequence_rules | target.trial_sequence.hazard_control_policy | target.trial_sequence.expectancy_control_role | target.block_design.row_order_constraints | target.block_design.within_family_queue_policy | target.block_design.condition_blocking_or_intermixing,15,untyped_object_container_only,trial_rows_families | iti_jitter_policy | condition_intermixing | task_sequence_rules | blocked_or_random_order,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].metadata,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].metadata
design.protocol.trial_strips[].elements[].element_id,trial_strip_elements,str,scalar,,target.trial_sequence.sequence_elements,1,composite_over_typed_current_inputs,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].elements[].element_id,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].elements[].element_id
design.protocol.trial_strips[].elements[].kind,trial_strip_elements,str,scalar,,target.trial_sequence.sequence_elements,1,composite_over_typed_current_inputs,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].elements[].kind,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].elements[].kind
design.protocol.trial_strips[].elements[].label,trial_strip_elements,str,scalar,,target.trial_sequence.sequence_elements,1,composite_over_typed_current_inputs,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].elements[].label,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].elements[].label
design.protocol.trial_strips[].elements[].source_label,trial_strip_elements,str,scalar,,target.trial_sequence.sequence_elements,1,composite_over_typed_current_inputs,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].elements[].source_label,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].elements[].source_label
design.protocol.trial_strips[].elements[].source_labels,trial_strip_elements,list[str],array,,target.trial_sequence.sequence_elements | target.trial_sequence.source_alternatives,2,composite_over_typed_current_inputs | typed_current_input,trial_rows_families,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].elements[].source_labels,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].elements[].source_labels
design.protocol.trial_strips[].elements[].jitter_values_ms,trial_strip_elements,list[int],array,ms,target.trial_sequence.jitter_values_ms,1,typed_current_input,iti_jitter_policy,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].elements[].jitter_values_ms,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].elements[].jitter_values_ms
design.protocol.trial_strips[].elements[].randomized,trial_strip_elements,bool,scalar,,target.trial_sequence.jitter_randomized,1,typed_current_input,iti_jitter_policy,current_toolkit_input_dictionary.csv::design.protocol.trial_strips[].elements[].randomized,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_strips[].elements[].randomized
design.protocol.trial_randomization_strategy,protocol,str,scalar,,target.trial_sequence.blocked_or_random_order | target.block_design.trial_randomization_strategy,2,composite_over_typed_current_inputs | typed_current_input,blocked_or_random_order,current_toolkit_input_dictionary.csv::design.protocol.trial_randomization_strategy,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_randomization_strategy
design.protocol.block_order_randomization,protocol,str,scalar,,target.trial_sequence.blocked_or_random_order | target.block_design.block_order_randomization,2,composite_over_typed_current_inputs | typed_current_input,blocked_or_random_order,current_toolkit_input_dictionary.csv::design.protocol.block_order_randomization,study_instance_current_toolkit_input_matrix.csv::design.protocol.block_order_randomization
design.protocol.max_consecutive_same_trial_type,protocol,int,scalar,,target.block_design.max_consecutive_same_trial_type,1,typed_current_input,blocked_or_random_order,current_toolkit_input_dictionary.csv::design.protocol.max_consecutive_same_trial_type,study_instance_current_toolkit_input_matrix.csv::design.protocol.max_consecutive_same_trial_type
design.protocol.participants,protocol,int,scalar,,target.profile_finalization.order_preview_count,1,typed_current_input,,current_toolkit_input_dictionary.csv::design.protocol.participants,study_instance_current_toolkit_input_matrix.csv::design.protocol.participants
design.protocol.random_seed,protocol,int,scalar,,target.block_design.random_seed | target.profile_finalization.participant_order_seed,2,typed_current_input | untyped_object_container_only,,current_toolkit_input_dictionary.csv::design.protocol.random_seed,study_instance_current_toolkit_input_matrix.csv::design.protocol.random_seed
design.protocol.participant_order_policy,protocol,"dict[str, Any]",object,,target.profile_finalization.participant_order_algorithm | target.profile_finalization.participant_order_version | target.profile_finalization.participant_order_seed,3,untyped_object_container_only,,current_toolkit_input_dictionary.csv::design.protocol.participant_order_policy,study_instance_current_toolkit_input_matrix.csv::design.protocol.participant_order_policy
