target_parameter_path,parameter_group,current_design_binding_state,current_serialized_paths,current_crosswalk_cardinality,current_binding_basis,crosswalk_scope
target.rendering.visual_motion_profile,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.visual_start_distance_cm,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.visual_end_distance_cm,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.visual_speed_cm_s,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.visual_duration_ms,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.visual_renderer_engine,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.visual_display_device,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.mixed_reality_context,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.body_rendering_mode,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.audiovisual_synchrony_policy,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.mixed_reality_equivalence_boundary,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.trial_row_count,Trial sequence and task,derived_not_input,design.protocol.trial_strips[].strip_id,1,count of instantiated trial-strip entities,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_ids,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].strip_id,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_labels,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].label,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_order,Trial sequence and task,partial_or_proxy_current_input,design.protocol.trial_strips[].strip_id,1,list order is implicit; no typed row-order field,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_audio_tactile_percentage,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].audio_tactile_percentage,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_catch_percentage,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].catch_percentage,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_baseline_percentage,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].baseline_percentage,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_soa_overrides_ms,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].soa_values_ms,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.row_spatial_overrides_cm,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].spatial_values_cm,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.sequence_elements,Trial sequence and task,composite_over_typed_current_inputs,design.protocol.trial_strips[].elements[].element_id | design.protocol.trial_strips[].elements[].kind | design.protocol.trial_strips[].elements[].label | design.protocol.trial_strips[].elements[].source_label | design.protocol.trial_strips[].elements[].source_labels,5,typed element records,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.source_alternatives,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].elements[].source_labels,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.sequence_variant_count,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.sequence_variant_keys,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.jitter_values_ms,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].elements[].jitter_values_ms,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.jitter_randomized,Trial sequence and task,typed_current_input,design.protocol.trial_strips[].elements[].randomized,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.iti_policy,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.iti_values_or_range_ms,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.iti_distribution,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.pre_sound_silence_ms,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.post_sound_silence_ms,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.foreperiod_ms,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.condition_intermixing,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.blocked_or_random_order,Trial sequence and task,composite_over_typed_current_inputs,design.protocol.trial_randomization_strategy | design.protocol.block_order_randomization,2,trial and block ordering are distinct current inputs,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.task_sequence_rules,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.hazard_control_policy,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_sequence.expectancy_control_role,Trial sequence and task,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.tactile_present,"Tactile, SOA, baseline, and catch",partial_or_proxy_current_input,design.protocol.tactile_sites,1,presence is inferred from a non-empty site list,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.tactile_modality,"Tactile, SOA, baseline, and catch",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.stimulator_model,"Tactile, SOA, baseline, and catch",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.tactile_site,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.tactile_sites,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.tactile_body_anchor,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.tactile_side,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.tactile_channel,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.channel_map,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.cue_duration_ms,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.pulse_duration_ms,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.waveform_shape,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.frequency_hz,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.amplitude,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.intensity,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.intensity_unit,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.calibration_method,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.threshold_reference,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.electrode_site,"Tactile, SOA, baseline, and catch",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.tactile_source_or_delivery,"Tactile, SOA, baseline, and catch",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.external_trigger_required,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.external_trigger_modality,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.external_trigger_role,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.external_trigger_code,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.external_trigger_tolerance_ms,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.external_trigger_channel,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.soa_values_ms,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.soa_values_ms | design.protocol.trial_strips[].soa_values_ms,2,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.soa_reference_anchor,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.soa_sign_convention,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.spatial_values_cm,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.spatial_values_cm | design.protocol.trial_strips[].spatial_values_cm,2,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.pair_spatial_values_with_soas,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.pair_spatial_values_with_soas,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.distance_at_touch_values_cm,"Tactile, SOA, baseline, and catch",partial_or_proxy_current_input,design.protocol.spatial_values_cm | design.protocol.trial_strips[].spatial_values_cm,2,current distance arrays do not independently name distance-at-touch semantics,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.baseline_enabled,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.include_baseline_trials,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.baseline_strategy,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.baseline_strategy,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.baseline_soa_values_ms,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.baseline_soa_values_ms,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.baseline_timing_reference,"Tactile, SOA, baseline, and catch",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.baseline_custom_trial_mode,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.baseline_custom_trial_mode,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.catch_enabled,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.include_catch_trials,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.catch_type,"Tactile, SOA, baseline, and catch",partial_or_proxy_current_input,design.protocol.include_catch_trials,1,current protocol toggles catch trials but has no typed catch-type field,current StimulusDesign design_from_dict/design_to_dict contract only
target.tactile_protocol.auditory_only_enabled,"Tactile, SOA, baseline, and catch",typed_current_input,design.protocol.include_auditory_only_trials,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.repetitions_per_condition,Repetition and trial counts,typed_current_input,design.protocol.repetitions_per_condition,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.repetition_defaults_by_family,Repetition and trial counts,typed_current_input,design.protocol.trial_pool_repetition_defaults,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.repetition_overrides_by_folder,Repetition and trial counts,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.repetition_overrides_by_file,Repetition and trial counts,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.fractional_repetition_policy,Repetition and trial counts,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.fractional_balance_seed,Repetition and trial counts,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.exact_family_counts,Repetition and trial counts,derived_not_input,design.protocol.repetitions_per_condition | design.protocol.trial_pool_repetition_defaults,2,materialized from repetition policy,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.baseline_count_exact,Repetition and trial counts,typed_current_input,design.protocol.baseline_trials_exact,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.baseline_percentage,Repetition and trial counts,typed_current_input,design.protocol.baseline_trial_percentage,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.catch_count_exact,Repetition and trial counts,typed_current_input,design.protocol.catch_trials_exact,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.catch_percentage,Repetition and trial counts,typed_current_input,design.protocol.catch_trial_percentage,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.auditory_only_count_exact,Repetition and trial counts,typed_current_input,design.protocol.auditory_only_trials_exact,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.auditory_only_percentage,Repetition and trial counts,typed_current_input,design.protocol.auditory_only_trial_percentage,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.catch_crosses_sequence_variants,Repetition and trial counts,typed_current_input,design.protocol.catch_crosses_sequence_variants,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.baseline_crosses_sequence_variants,Repetition and trial counts,typed_current_input,design.protocol.baseline_crosses_sequence_variants,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.auditory_only_crosses_sequence_variants,Repetition and trial counts,typed_current_input,design.protocol.auditory_only_crosses_sequence_variants,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.total_trial_count,Repetition and trial counts,derived_not_input,design.protocol.repetitions_per_condition | design.protocol.trial_pool_repetition_defaults | design.protocol.baseline_trials_exact | design.protocol.catch_trials_exact | design.protocol.auditory_only_trials_exact,5,"computed/materialized count, not a primary input",current StimulusDesign design_from_dict/design_to_dict contract only
target.trial_pool.reported_or_target_playback_duration_s,Repetition and trial counts,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.block_count,Block design,typed_current_input,design.protocol.blocks,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.block_labels,Block design,typed_current_input,design.protocol.block_specs[].label,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.block_stimulus_types,Block design,typed_current_input,design.protocol.block_specs[].stimulus_types,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.repeat_trial_pool_per_block,Block design,typed_current_input,design.protocol.repeat_trial_pool_per_block,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.distribute_trial_pool_across_blocks,Block design,typed_current_input,design.protocol.distribute_trial_pool_across_blocks,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.trial_randomization_strategy,Block design,typed_current_input,design.protocol.trial_randomization_strategy,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.block_order_randomization,Block design,typed_current_input,design.protocol.block_order_randomization,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.max_consecutive_same_trial_type,Block design,typed_current_input,design.protocol.max_consecutive_same_trial_type,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.row_order_constraints,Block design,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.within_family_queue_policy,Block design,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.condition_blocking_or_intermixing,Block design,untyped_object_container_only,design.protocol.trial_strips[].metadata,1,untyped trial-strip metadata object,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.random_seed,Block design,typed_current_input,design.protocol.random_seed,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.per_block_trial_counts,Block design,derived_not_input,design.protocol.blocks | design.protocol.block_specs[].stimulus_types,2,computed prepared-block output,current StimulusDesign design_from_dict/design_to_dict contract only
target.block_design.per_block_duration_estimates,Block design,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.part_count,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.part_labels,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.part_block_membership,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.instruction_slots_enabled,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.instruction_slot_labels,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.instruction_audio_identity,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.instruction_continue_modes,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.instruction_delay_ms,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.instruction_button_labels,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.participant_order_algorithm,"Profile finalization, instructions, and order",untyped_object_container_only,design.protocol.participant_order_policy,1,algorithm is an untyped key inside participant_order_policy,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.participant_order_version,"Profile finalization, instructions, and order",untyped_object_container_only,design.protocol.participant_order_policy,1,version is an untyped key inside participant_order_policy,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.participant_order_seed,"Profile finalization, instructions, and order",untyped_object_container_only,design.protocol.participant_order_policy | design.protocol.random_seed,2,policy object plus typed general random seed,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.order_preview_count,"Profile finalization, instructions, and order",typed_current_input,design.protocol.participants,1,legacy field name participants is consumed as order-preview count,current StimulusDesign design_from_dict/design_to_dict contract only
target.profile_finalization.profile_finalization_policy,"Profile finalization, instructions, and order",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_required_by_trial_type,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.expected_response,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_rule,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.target_role,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_mode,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_choice_set,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.correct_response,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_scoring_policy,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_capture_device,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_input_modality,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.voice_key_enabled,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.voice_key_response_label,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.voice_key_threshold,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.voice_key_latency_correction_ms,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_window_anchor,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_window_min_ms,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.response_window_max_ms,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.online_timeout_ms,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
